,name,meaning,MID2_name
0,M2ID,unique 5-digit person ID,M2ID
1,M2FAMNUM,unique 6-digit family ID,M2FAMNUM
2,SAMPLMAJ,which study this person is from,SAMPLMAJ
3,A1PAGE_M2,age at time of phone interview,B1PAGE_M2
4,A1PRSEX,gender,B1PRSEX
5,A1PI_MO,interview month,
6,A1PI_YR,interview year,
7,A1PA4,self-evaluate physical health,B1PA1
8,A1PA5,self-evaluate mental/emotional health,B1PA2
9,A1PA6,self-evaluate own health vs. others of same age and gender,B1PA3
10,A1PA9,how was your physical health at 16 years old,
11,A1PA10,how was mental health at 16 years old,
12,A1PA13,how is your risk of heart attack vs same age and gender,B1PA9
13,A1PA15,how much do you worry about your heart,B1PA11
14,A1PA33,taking prescription meds for high b.p.,B1PA24C
15,A1PA34,doing anything other than rx meds for high b.p.,B1PA24D
16,A1PA31,last b.p. reading,B1PA25A
17,A1PA37,how does your cancer risk compare to others of your age and gender,B1PA27
18,A1PCACRS,self-evaluate your cancer risk,
19,A1PA41,age first cigarette,B1PA37
20,A1PA40,ever smoked regularly,B1PA38A
21,A1PA42,age first smoked regularly,B1PA38B
22,A1PA43,now smoking regularly,B1PA39
23,A1PA44,"cigs/day during heaviest year of smoking, if currently smoking",B1PA40
24,A1PA45,ever tried to quit smoking,B1PA41
25,A1PA46,age last smoked regularly,B1PA42
26,A1PA52,age first drink alcohol,B1PA49
27,A1PA53,ever had a period of at least one drink on at least 3 days a week,
28,A1PA53A,age began drinking 1+/wk for 3+ days/wk,
29,A1PA54,"during heaviest drinking year, how frequently had 1+ drink",B1PA54
30,A1PA55,"when you drank most, how many did you drink",B1PA55
31,A1PA56,age when you last drank often,
32,A1PA57,felt sad/depressed for 2+ wks/yr,B1PA60
33,A1PA58,how much of the day did the sadness last,B1PA61
34,A1PA80,how much you worry compared to others like you,B1PA83
35,A1PA81,frequency of worrying,B1PA84
36,A1PA85A,how often restless from worries,B1PA88A
37,A1PA85D,how often can't sleep from worries,B1PA88D
38,A1PB1,highest level of education completed,B1PB1
39,A1PB3A,currently working,B1PB3A
